year,month,illnesses,deaths,hospitalizations,state,genus_species,contaminated_ingredient,serotype_or_genotype,etiology_status,location_of_preparation,food_vehicle
2011,5,8,0,0,Arizona,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2012,12,3,0,0,Arizona,,,,,Restaurant - Sit-down dining,
2014,10,4,0,0,California,Shigella sonnei,,,Suspected,Restaurant - Sit-down dining,
2006,9,24,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type; Private home/residence,cucumber salad
2010,4,2,0,0,Arizona,Norovirus Genogroup II,,,Suspected,,
2008,4,55,0,0,Maine,Norovirus unknown,,,Confirmed,,
2008,8,54,0,0,Illinois,,,,,Restaurant - other or unknown type,
2002,11,5,0,0,Maryland,,,,,Restaurant - other or unknown type,
2011,9,6,0,0,North Carolina,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - Sit-down dining,
2015,3,23,0,0,Ohio,Norovirus Genogroup II,,GII_4 Sydney (2012),Suspected,Restaurant - Sit-down dining,
1999,7,3,0,0,Florida,,beef; beef,,,Restaurant - other or unknown type,"beef, chimichanga; beef/steak taquitos"
2004,5,14,0,0,California,Norovirus Genogroup I,chicken; chicken,,Suspected,Restaurant - other or unknown type,"eggs, quiche; multiple salads"
2011,3,5,0,0,Florida,Scombroid toxin,tuna,,Confirmed,Restaurant - Sit-down dining,"fish, tuna"
1998,6,3,,,Maryland,,,,,Restaurant - other or unknown type,
2006,4,2,,,Ohio,,,,,Restaurant - other or unknown type,"sandwich, other"
2008,4,70,0,0,New Jersey,Salmonella enterica,,Java,Confirmed,Other (describe in remarks),cheddar cheese
2012,6,62,0,1,New Jersey,Norovirus,,,Suspected,Other (describe in remarks),"cake, unspecified"
2009,9,22,0,0,Wyoming,Norovirus Genogroup II,"leaf lettuce; cheddar cheese, pasteurized; leaf lettuce; cheddar cheese, pasteurized",,Confirmed,Other (describe in remarks),"lettuce based salads; salad dressings; cheddar cheese; salad dressings; milk, 1% milk pasteurized; leaf lettuce; cheddar cheese, pasteurized; vegetables"
2006,6,8,0,0,Kansas,,,,,Restaurant - other or unknown type,
2006,8,2,0,0,Wisconsin,Scombroid toxin,,,Confirmed,Restaurant - other or unknown type,"fish, escolar"
2006,3,14,0,1,Minnesota,Norovirus Genogroup I,,,Confirmed,Private home/residence,
2015,6,5,0,0,New Jersey,,,,,Caterer (food prepared off-site from where served),
2007,6,2,0,0,Pennsylvania,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Unknown,
2006,3,8,0,0,Illinois,Clostridium perfringens,,,Confirmed,Restaurant - other or unknown type,"burrito, beef"
2011,4,40,0,0,Arizona,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence",
2000,12,9,,,Massachusetts,Scombroid toxin,,,Suspected,Private home/residence,tuna steak
2001,7,5,0,0,Multistate,Salmonella enterica,,Enteritidis,Confirmed,Unknown,"eggs, unspecified"
2012,1,6,0,0,Tennessee,Bacillus cereus; Staphylococcus aureus,,,Suspected; Suspected,Restaurant - Sit-down dining,
2013,4,10,0,3,Louisiana,Salmonella enterica,,Enteritidis,Confirmed,,
1999,8,5,,,Colorado,Clostridium perfringens,rice,,Suspected,Restaurant - other or unknown type,"rice dishes, unspecified; stew/chili, unspecified"
2002,2,2,,,Florida,Vibrio parahaemolyticus,,,Suspected,Restaurant - other or unknown type,"scallops, baked; shrimp, steamed"
2008,3,46,0,,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Banquet Facility (food prepared and served on-site),
2010,2,12,0,0,Colorado,,beans,,,Caterer (food prepared off-site from where served),"beans, unspecified"
1999,3,4,,,Florida,,,,,Restaurant - other or unknown type,"nachos and cheese; chicken, buffalo wings"
2008,8,75,,,Florida,Norovirus Genogroup I,,unknown,Confirmed,Restaurant - other or unknown type,
2006,6,38,,,Washington,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2006,8,73,,,California,Shigella sonnei,,,Confirmed,Restaurant - other or unknown type,
1999,12,4,0,0,Florida,,fin fish,,,Restaurant - other or unknown type,"fish, mahi mahi"
2004,12,7,0,2,Illinois,,,,,Restaurant - other or unknown type,
2001,5,28,,,Florida,,,,,Restaurant - other or unknown type,
2011,5,22,0,0,California,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2005,8,36,0,0,Florida,Salmonella enterica,,,Confirmed,Private home/residence,"pork, bbq"
2005,6,2,0,0,Michigan,,,,,Restaurant - other or unknown type,"sandwich, tuna fish; sandwich, deli"
2001,9,27,0,,Iowa,Salmonella enterica,chicken,Enteritidis,Confirmed,Other (describe in remarks),"chicken, nuggets/fingers"
2006,7,62,0,0,Wisconsin,Norovirus Genogroup II,,unknown,Confirmed,Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),"cake, unspecified"
2008,1,20,0,0,Florida,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2011,5,115,0,0,Kansas,Clostridium perfringens,turkey,,Suspected,Prison/jail,chili macaroni
2002,8,9,,,New York,,,,,Restaurant - other or unknown type,"sandwich, chicken parmesan"
1999,9,5,0,1,Indiana,Shigella sonnei,egg,,Confirmed,Private home/residence,potato salad
2007,10,22,0,2,Massachusetts,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2000,1,8,0,2,Missouri,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Restaurant - other or unknown type,
2003,12,4,0,0,Hawaii,Ciguatoxin,,,Confirmed,Private home/residence,"fish, roi"
2013,4,7,0,0,Minnesota,Norovirus Genogroup I,,,Suspected,Restaurant - Sit-down dining,
2005,1,9,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2004,1,21,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),"salad, unspecified"
2006,8,3,0,1,Ohio,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type; Other (describe in remarks),
2006,5,4,0,0,California,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,"cake, cheese"
2007,9,73,0,0,Missouri,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2006,6,8,,,Washington,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2010,8,33,0,0,Oregon,Norovirus Genogroup II,,,Suspected,Caterer (food prepared off-site from where served),
1999,7,2,,,Florida,,,,,Restaurant - other or unknown type,"fish sandwich, unspecified"
2011,7,4,0,1,Illinois,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2004,12,18,0,0,Maryland,,,,,Restaurant - other or unknown type,
2007,1,4,0,0,Washington,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,green salad
2015,1,2,0,0,South Carolina,Scombroid toxin,tuna steak,,Confirmed,Restaurant - Sit-down dining,tuna steak
2007,5,11,0,0,Iowa,Norovirus Genogroup I,,,Suspected,Private home/residence,chicken salad
2002,2,7,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Other (describe in remarks),"pizza, unspecified"
2013,8,5,0,1,California,Bacillus cereus,,,Suspected,Restaurant - Sit-down dining,"pizza, sausage and pepperoni"
2000,12,20,0,0,Vermont,,,,,Restaurant - other or unknown type,
2012,10,13,0,1,Connecticut,Norovirus,,,Suspected,Restaurant - Sit-down dining,
2015,7,4,0,0,California,,,,,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),
1998,2,11,,,Colorado,Other - Virus,,,Suspected,Restaurant - other or unknown type,onion dip
1999,10,11,0,0,California,Clostridium perfringens,,,Suspected,Private home/residence,"spaghetti, unspecified"
2003,3,7,0,0,Pennsylvania,Norovirus Genogroup I,,,Suspected,Private home/residence,potato chips
1999,8,2,,,Florida,,,,,Restaurant - other or unknown type,"refried beans, unspecified"
2015,12,7,0,0,Oregon,Salmonella enterica,egg,Enteritidis,Confirmed,,eggnog
2006,4,12,0,1,Arizona,Norovirus Genogroup II,,other,Confirmed,Caterer (food prepared off-site from where served),
2009,1,32,0,0,Massachusetts,,,,,Banquet Facility (food prepared and served on-site),salads; tomatoes; vegetables
1999,6,14,0,0,California,Other - Virus,,,Suspected,Caterer (food prepared off-site from where served),potato salad
2007,12,17,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),
2002,1,15,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"strawberries; melon, unspecified; pineapple, unspecified"
2004,8,33,0,1,Minnesota,Norovirus Genogroup I,,,Confirmed,Private home/residence,potato salad
2005,5,10,0,0,Arizona,,,,,Restaurant - other or unknown type,
2006,4,6,,,Ohio,Salmonella enterica,,Typhimurium,Confirmed,Private home/residence,chicken dishes
2015,10,3,0,3,Arizona,Salmonella enterica,,Rubislaw,Confirmed,Unknown,
2010,6,11,0,0,Michigan,Staphylococcus aureus,,,Confirmed,Private home/residence; Other (describe in remarks),potato salad
2012,1,19,0,0,North Dakota,Norovirus Genogroup II,,,Suspected,Caterer (food prepared off-site from where served),
2012,7,32,0,0,South Dakota,Clostridium perfringens,,,Confirmed,Caterer (food prepared off-site from where served),pork
1998,1,20,0,0,California,,,,,Restaurant - other or unknown type,
1998,10,2,0,,Ohio,,,,,Other (describe in remarks),
1998,3,3,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"sandwich, chicken"
2005,7,5,0,0,Washington,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2001,1,24,0,0,Michigan,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2009,3,35,0,0,Alabama,Norovirus Genogroup II,,,Suspected,Restaurant - Sit-down dining,
2011,11,23,0,0,North Dakota,Clostridium perfringens,,,Suspected,Banquet Facility (food prepared and served on-site),
2003,4,5,0,0,Illinois,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2014,5,4,0,0,Washington,Clostridium perfringens,,,Suspected,Restaurant - Sit-down dining,
2005,6,8,0,0,Colorado,Campylobacter jejuni; Bacillus cereus,,,Confirmed; Suspected,Restaurant - other or unknown type,"noodles, unspecified; quail, unspecified"
2008,3,22,0,0,Maine,,,,,,
2012,8,3,0,0,Texas,,,,,Restaurant - Sit-down dining,"beef, brisket; barbecue sauce; onions; coleslaw; coleslaw; beans, unspecified; potato salad; potato salad"
2004,12,21,0,2,Wisconsin,Salmonella enterica,,Typhimurium,Confirmed,Prison/jail,"chicken, baked"
2006,7,14,0,1,North Carolina,Hepatitis A,,,Confirmed,,tap water
2013,6,38,0,,Texas,Cyclospora cayatenensis,,,Confirmed,,"cilantro, unspecified"
2004,11,7,0,0,Ohio,,,,,School/college/university,
2004,6,18,0,1,Arizona,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - other or unknown type,shrimp cocktail
2013,4,3,0,1,Idaho,Salmonella enterica,,Heidelberg,Confirmed,Private home/residence,
2002,10,33,0,11,Texas,Salmonella enterica,,Choleraesuis,Confirmed,Restaurant - other or unknown type,"potato, mashed"
1999,9,20,0,0,Minnesota,Norovirus Genogroup I,,,Suspected,Religious facility,ice
2015,6,4,0,0,Maryland,Ciguatoxin,,,Confirmed,Private home/residence,"fish, baracuda"
2012,8,2,0,0,Colorado,,,,,Restaurant - Sit-down dining,
2002,10,2,0,0,Alabama,,,,,Restaurant - other or unknown type,"ethnic style, unspecified; fried rice, unspecified"
2013,7,2,0,0,Ohio,Norovirus,,,Suspected,Restaurant - Sit-down dining,
2003,12,5,0,,Alabama,,,,,Restaurant - other or unknown type,"fajita, beef; taco or nacho salad"
2009,1,5,0,0,Massachusetts,Salmonella enterica,,Braenderup,Confirmed,Restaurant - Sit-down dining,
2008,2,2,,,Florida,,,,,Restaurant - other or unknown type,"enchilada, chicken"
2012,11,2,0,0,Puerto Rico,Ciguatoxin,,,Confirmed,Restaurant - Sit-down dining,"fish, chillo"
2002,3,2,0,0,Florida,Rotavirus,conch,,Suspected,Restaurant - other or unknown type,"conch, unspecified"
2011,7,22,0,1,California,Salmonella enterica,,Kiambu,Confirmed,Restaurant - other or unknown type; Private home/residence; Grocery store; Other (describe in remarks),"beans, unspecified; carnitas, unspecified"
2004,3,71,0,0,Illinois,Norovirus Genogroup I,,,Confirmed,School/college/university,
2006,9,5,0,0,Rhode Island,Bacillus cereus,,,Confirmed,Private home/residence; Other (describe in remarks),"chicken, roasted"
2005,2,3,,,Michigan,,,,,Restaurant - other or unknown type,
2002,3,10,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2002,4,4,,,Alabama,,,,,Private home/residence,
2008,7,471,0,0,Texas,Norovirus unknown,,,Confirmed,Prison/jail,
2002,7,2,0,0,Washington,,,,,Restaurant - other or unknown type,"burrito, chicken; enchilada, chicken; refried beans, unspecified"
2001,7,4,0,0,California,Bacillus cereus; Clostridium perfringens,,,Suspected; Suspected,Restaurant - other or unknown type,unspecified vegetables
2007,3,18,0,0,Maine,Norovirus Genogroup I,,,Confirmed,,
2012,2,29,0,1,Ohio,Norovirus Genogroup II,water,GII_4 New Orleans (2009),Confirmed,Restaurant - other or unknown type,ice
2009,12,118,0,0,Colorado,Clostridium perfringens,beans,,Confirmed,Prison/jail,bean dishes
1998,10,57,0,0,Oregon,Shigella sonnei,,,Confirmed,School/college/university,
2010,9,27,0,0,New York,Clostridium perfringens,corn,,Suspected,Other (describe in remarks),corn
2005,5,55,0,0,Michigan,Norovirus Genogroup I,,,Confirmed,Private home/residence; Other (describe in remarks),"macaroni salad; roast beef, unspecified"
2012,1,35,0,0,Colorado,Norovirus unknown,,,Confirmed,Long-term care/nursing home/assisted living facility,mechanical soft diet
1999,5,23,,,Maryland,,,,,Caterer (food prepared off-site from where served),
2008,9,5,0,1,New York,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - other or unknown type,
2010,4,2,0,0,South Carolina,Scombroid toxin,,,Confirmed,,tuna burger
2009,2,6,0,0,Florida,Bacillus cereus,,,Suspected,Restaurant - Sit-down dining,rice
2008,7,77,0,1,Utah,Salmonella enterica; Salmonella enterica,,Typhimurium; Typhimurium var Cope,Confirmed; Confirmed,,
2009,1,3,0,2,Massachusetts,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Private home/residence,"ground beef, hamburger"
2012,4,3,0,0,Ohio,,,,,Private home/residence,
2015,3,5,0,0,Wisconsin,Clostridium perfringens,,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2005,9,35,0,0,South Dakota,Norovirus unknown,,,Confirmed,Banquet Facility (food prepared and served on-site); Other (describe in remarks),
2008,2,3,0,0,Colorado,,,,,Restaurant - other or unknown type,
2004,3,3,0,0,Illinois,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,
2005,9,5,0,0,Illinois,,,,,Restaurant - other or unknown type,
2015,8,2,0,0,Florida,Ciguatoxin,"fish, baracuda",,Confirmed,Private home/residence,barracuda
2006,4,10,0,2,North Dakota,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2015,6,3,0,2,Utah,Salmonella enterica,,Heidelberg,Confirmed,,
2001,3,3,,,Florida,,,,,Restaurant - other or unknown type,"ground beef, hamburger"
2006,10,16,0,0,Washington,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
1999,1,31,0,6,California,Salmonella enterica,egg; egg,Enteritidis,Confirmed,Restaurant - other or unknown type,"chile relleno, unspecified; rice, yellow"
2000,2,2,0,0,Michigan,,,,,Restaurant - other or unknown type,"chicken, nuggets/fingers"
2014,1,7,0,0,Illinois,,,,,Restaurant - Sit-down dining,
2000,8,3,0,0,Michigan,,,,,Restaurant - other or unknown type,
2012,10,17,0,0,Wisconsin,Clostridium perfringens,,,Confirmed,Private home/residence,"soup, chicken noodle"
2008,11,10,0,0,Georgia,Bacillus cereus,rice,,Confirmed,Restaurant - other or unknown type,"fried rice, unspecified"
2004,4,18,0,0,New York,Norovirus Genogroup I,,,Suspected,Caterer (food prepared off-site from where served),
2011,4,9,0,0,Washington,Norovirus Genogroup I,,,Confirmed,Grocery store,"sandwich, submarine"
1999,9,4,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"ground beef, cheeseburger"
2001,7,13,0,5,Colorado,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Prison/jail,"ground beef, hamburger"
2004,8,14,0,0,Ohio,,,,,Caterer (food prepared off-site from where served),
1999,5,10,0,0,Maryland,Norovirus Genogroup I,,,Confirmed,Caterer (food prepared off-site from where served); School/college/university,
2012,2,2,0,0,California,Scombroid toxin,"fish, mahi mahi",,Confirmed,Restaurant - Sit-down dining,"fish, mahi mahi"
2000,8,23,0,5,California,Salmonella enterica,,Newport,Confirmed,Restaurant - other or unknown type; Private home/residence,"goat, unspecified; parsley, unspecified"
2006,2,4,0,0,Illinois,,,,,Banquet Facility (food prepared and served on-site),
2014,5,8,0,1,Illinois,Norovirus Genogroup I,,,Suspected,Private home/residence; Caterer (food prepared off-site from where served),
2008,6,8,0,0,Ohio,,,,,Restaurant - other or unknown type,
1999,12,46,0,1,Indiana,Other - Virus,,,Suspected,Restaurant - other or unknown type,
2010,1,13,0,0,Tennessee,Norovirus Genogroup II,,GII_4 untypeable,Confirmed,Unknown,"cake, unspecified"
2000,11,188,0,1,California,Clostridium perfringens,legume,,Confirmed,Prison/jail,"refried beans, unspecified"
2000,6,3,0,0,Minnesota,,,,,Restaurant - other or unknown type,egg rolls
2002,7,2,0,0,Hawaii,Ciguatoxin,,,Confirmed,Private home/residence,"fish, ulua, unspecified"
2004,5,9,0,0,Illinois,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2002,11,3,,,California,Shigella sonnei,,,Confirmed,Banquet Facility (food prepared and served on-site),
2006,12,125,0,1,California,Norovirus unknown,,,Suspected,,"salsa, unspecified"
2011,12,14,0,1,Wisconsin,Norovirus Genogroup II,,GII_4 New Orleans (2009),Confirmed,Long-term care/nursing home/assisted living facility,"fruit punch, unspecified"
2006,12,17,0,0,Maryland,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,house salad
2010,12,3,0,0,Florida,Norovirus,,,Suspected,Restaurant - Sit-down dining,"sushi, unspecified"
2011,7,4,0,0,Florida,Ciguatoxin,,,Confirmed,,
2007,5,30,0,5,New Jersey,Salmonella enterica,,Litchfield,Confirmed,Restaurant - other or unknown type,"fruit salad; green salad; cantaloupe; honeydew melon; grapes, unspecified"
1999,3,9,0,0,Ohio,Norovirus Genogroup I,,,Confirmed,Other (describe in remarks),
2003,1,32,,,Pennsylvania,Norovirus Genogroup I,,,Suspected,Unknown,
2009,2,6,0,0,Colorado,Norovirus,,,Suspected,Restaurant - Sit-down dining,"flauta, chicken; chile relleno, unspecified; lettuce"
2010,1,8,0,0,Connecticut,Norovirus Genogroup II,,,Confirmed,Restaurant - other or unknown type; Private home/residence,
1999,4,35,0,0,Ohio,,,,,Restaurant - other or unknown type,"salad, unspecified"
2009,4,8,0,0,Arizona,,,,,,
2013,6,183,0,8,Texas,,,,,Restaurant - Sit-down dining,
2004,9,8,0,1,Pennsylvania,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"tomato (see fruit); vidalia onion; romaine lettuce, unspecified"
2012,7,5,0,0,California,Scombroid toxin,tuna,,Confirmed,Restaurant - Sit-down dining,"fish, tuna, spicy roll"
1998,7,12,,,New York,Hepatitis A,,,Confirmed,Other (describe in remarks),
2000,11,34,0,0,Virginia,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2015,2,5,0,0,Virginia,Norovirus Genogroup II,,,Suspected,Restaurant - Sit-down dining,
1998,8,6,,,Maryland,Clostridium perfringens,,,Suspected,Restaurant - other or unknown type,
2004,3,6,0,0,Florida,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2004,10,37,1,,Pennsylvania,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - other or unknown type; Other (describe in remarks),
1999,8,3,,,Florida,Vibrio parahaemolyticus,,,Suspected,Restaurant - other or unknown type,"oysters, raw"
2011,12,45,0,0,Kentucky,Bacillus cereus,,,Confirmed,Caterer (food prepared off-site from where served),
2001,7,21,0,2,South Dakota,Salmonella enterica,,Heidelberg,Confirmed,Restaurant - other or unknown type,
2005,4,6,0,0,Ohio,,,,,Other (describe in remarks),
1999,6,2,0,0,Florida,Vibrio parahaemolyticus,,,Suspected,Restaurant - other or unknown type,"shrimp, raw; shrimp dishes unspecified; shrimp scampi"
2000,2,2,0,0,Michigan,,,,,Restaurant - other or unknown type,"beef, kabobs; lamb, other"
2015,6,11,0,0,Florida,Staphylococcus aureus,pork,,Suspected,Restaurant - Sit-down dining,"pork, bbq"
1998,12,28,0,0,Florida,,,,,School/college/university,"pizza, meat"
2014,2,2,0,0,Ohio,,,,,Restaurant - other or unknown type,
2001,12,2,,,Florida,,,,,Restaurant - other or unknown type,"plantains, unspecified"
1998,12,45,0,0,New York,,,,,Restaurant - other or unknown type,macaroni salad
2003,2,11,,,Kansas,,,,,Caterer (food prepared off-site from where served),shrimp dishes unspecified
2013,4,4,0,0,Puerto Rico,,,,,,
2007,10,8,0,0,Texas,,,,,Restaurant - other or unknown type,
2008,12,31,0,0,Colorado,Norovirus unknown,,,Suspected,Caterer (food prepared off-site from where served),"cake, brownie; chips, unspecified; cookies, unspecified"
2001,8,5,,,Florida,,,,,Restaurant - other or unknown type,"pizza, meat"
1999,10,6,0,0,Illinois,,,,,Caterer (food prepared off-site from where served),
2008,11,3,0,0,Washington,,,,,Restaurant - other or unknown type,
2015,2,2,0,0,California,,,,,Restaurant - Sit-down dining,
2002,7,13,0,0,California,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2005,1,9,,,Maine,,,,,,
2002,6,4,0,0,Kansas,Salmonella enterica,,Newport,Confirmed,Unknown,
2003,8,26,0,1,Texas,Shigella sonnei,,,Suspected,School/college/university,
2007,9,125,0,0,Colorado,Clostridium perfringens,,,Confirmed,Prison/jail,"beans, chili"
2002,10,29,0,3,Washington DC,"Salmonella enterica; Escherichia coli, Enteropathogenic",,,Confirmed; Confirmed,Caterer (food prepared off-site from where served),
2005,4,3,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2006,4,3,0,1,Georgia,,,,,Restaurant - other or unknown type,sope
2004,5,3,0,1,Illinois,Salmonella enterica,,Anatum,Confirmed,Restaurant - other or unknown type,
1998,5,4,,,Maryland,,,,,Restaurant - other or unknown type,
2011,8,2,0,0,Kansas,,,,,Restaurant - Sit-down dining,
2011,7,2,0,0,Texas,,,,,Restaurant - other or unknown type,
2010,12,9,0,0,Illinois,,,,,Restaurant - Sit-down dining,
2003,1,60,0,0,Maine,Other - Virus,,,Suspected,Restaurant - other or unknown type,
2004,5,58,0,0,New York,Norovirus unknown,pork; leafy green,,Confirmed,Restaurant - other or unknown type,"ham, other; chocolate, unspecified; green salad"
2014,6,15,0,0,California,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
2003,9,15,0,0,California,Salmonella enterica,,London,Confirmed,Private home/residence,"goat, unspecified"
2000,6,2,0,0,California,,,,,Restaurant - other or unknown type,"octopus, unspecified; shrimp cocktail; unspecified vegetables"
2004,5,4,,1,New Jersey,"Escherichia coli, Shiga toxin-producing",beef,O157:H7,Confirmed,Restaurant - other or unknown type,"ground beef, hamburger"
2004,7,11,0,0,Oregon,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"sandwich, unspecified"
2001,12,10,0,0,California,Norovirus Genogroup I,,,Suspected,Grocery store,"turkey, unspecified"
2015,10,35,0,1,Kentucky,,,,,,
2010,10,33,0,0,Ohio,Salmonella enterica,,"I 4,[5],12:i:-",Confirmed,,
2008,8,126,0,0,Maine,Clostridium perfringens,,,Suspected,Prison/jail,
2001,10,53,0,,Massachusetts,Hepatitis A,,,Confirmed,Restaurant - other or unknown type,
2008,2,16,0,0,Oregon,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2007,1,22,0,0,Rhode Island,Norovirus Genogroup I,,,Suspected,School/college/university,
2006,4,36,0,0,Virginia,Staphylococcus aureus,beef,,Confirmed,Private home/residence,"beef, unspecified; potato salad; rice"
2004,7,17,0,0,New York,Salmonella enterica,,Typhimurium,Confirmed,Camp,
2005,8,2,,,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"ethnic style, buffet"
1999,5,3,0,0,Florida,Clostridium perfringens,,,Suspected,Restaurant - other or unknown type,"ribs, beef"
1998,1,2,0,0,Michigan,,,,,,"sandwich, roast beef"
2002,4,9,,,Florida,Norovirus Genogroup I,,,Suspected,Private home/residence,macaroni salad; potato salad
2008,4,13,0,0,Tennessee,,,,,Restaurant - other or unknown type,"rice, spanish"
2008,4,58,0,0,Oregon,Norovirus Genogroup II,,unknown,Confirmed,Prison/jail,
2004,3,22,0,0,Massachusetts,,,,,Restaurant - other or unknown type,
1999,5,15,0,0,Ohio,,,,,Private home/residence,
2007,5,23,0,,Wisconsin,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2002,7,2,0,0,Alabama,,,,,Restaurant - other or unknown type,"shell eggs, scrambled hard; sausage, pork"
2012,10,4,0,0,Washington,Norovirus,,,Suspected,Restaurant - Sit-down dining,buffet
2015,7,3,0,0,Washington,Vibrio parahaemolyticus,,unknown,Suspected,,"oysters, raw"
2004,1,12,0,0,Ohio,,,,,Restaurant - other or unknown type,"pizza, unspecified"
1999,2,4,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"pizza, meat"
2005,3,9,0,0,Ohio,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Private home/residence; Grocery store,"ham, unspecified"
1999,3,2,,,Maryland,,,,,Restaurant - other or unknown type,"ground beef, sausage"
2004,8,6,0,3,Washington,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Restaurant - other or unknown type,"salsa, unspecified"
2002,9,8,0,0,Michigan,,,,,Restaurant - other or unknown type,
2004,12,2,0,0,Alabama,,,,,Restaurant - other or unknown type,"sandwich, ham"
2004,6,15,0,2,Illinois,,,,,Restaurant - other or unknown type,
1998,6,17,0,1,California,,,,,Restaurant - other or unknown type,
2003,3,3,,,Florida,,,,,Restaurant - other or unknown type,"chicken, buffalo wings"
2007,1,5,0,0,Wisconsin,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2015,5,48,0,1,Ohio,Norovirus Genogroup II,lettuce,GII_4 Sydney (2012),Confirmed,Banquet Facility (food prepared and served on-site),salad
2002,7,11,0,0,North Carolina,Norovirus Genogroup I,,,Confirmed,Caterer (food prepared off-site from where served),"cake, unspecified; tomato, unspecified"
2008,8,3,1,3,New Jersey,Mycotoxins,,,Confirmed,Private home/residence,mushrooms
2005,1,8,0,0,Illinois,,,,,Restaurant - other or unknown type,
1998,1,17,0,0,Pennsylvania,,,,,Restaurant - other or unknown type,
1998,8,4,0,1,California,,,,,Restaurant - other or unknown type,
2007,2,6,0,1,Pennsylvania,Salmonella enterica,,Typhimurium,Confirmed,Unknown,
2005,12,6,0,0,New York,,,,,Restaurant - other or unknown type,
2001,4,2,,,Florida,,,,,Grocery store,"sausage, italian"
2008,5,2,0,2,Colorado,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Private home/residence,"ground beef, hamburger"
2001,1,6,,,Maine,,,,,Restaurant - other or unknown type,
2011,9,9,0,1,Pennsylvania,Norovirus,,,Confirmed,Restaurant - Sit-down dining,
2012,1,6,0,0,Arizona,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2003,2,4,0,0,Washington,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,"soup, clam chowder"
